area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,670000,664,,
Super built-up  Area,18-Apr,Malleshpalya,2,,1140,2,2,465000,785,,
Plot  Area,Ready To Move,Srirampura,5,,1200,5,2,1800000,1105,,
Super built-up  Area,18-Dec,Kodathi,2,,850,2,2,270000,700,,
Super built-up  Area,Ready To Move,Whitefield,2,Gotis A,1280,2,2,750000,1252,,
Built-up  Area,Ready To Move,Munnekollal,2,,1170,2,2,520000,832,,
Super built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1113,2,1,510000,826,,
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1385,2,1,830900,522,,
Super built-up  Area,18-Apr,Electronic City,2,Praun,1128,2,1,650000,417,,
Plot  Area,Ready To Move,Marathahalli,2,,1200,2,2,1280000,799,,
Plot  Area,Ready To Move,Akshaya Vana,4,,1200,4,3,1650000,99,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,4150000,976,,
Plot  Area,Ready To Move,Giri Nagar,4,,2400,4,1,4000000,453,,
Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,560000,506,,
Super built-up  Area,Ready To Move,Manayata Tech Pa,2,,1200,2,2,550000,788,,
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,Abncy R,1200,2,2,520000,678,,
Super built-up  Area,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,550000,638,,
Built-up  Area,Ready To Move,Basavanna Nagar,3,Itala A,1645,3,2,950000,224,,
Super built-up  Area,20-Mar,Sarjapur  Road,2,,1000,2,1,670000,1039,,
Plot  Area,Ready To Move,Haralur Road,4,,2650,4,2,1980000,506,,
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,HMinebo,1192,2,2,740000,67,,
Super built-up  Area,Ready To Move,Ulsoor,3,K borja,2135,3,2,2150000,1176,,
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,1173,2,1,580000,1252,,
Built-up  Area,Ready To Move,Uttarahalli,2,Sungspr,1020,2,2,450000,1179,,
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122,6,2,2300000,1153,,
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600,3,3,640000,1089,,
Plot  Area,18-Mar,T.C PALYA,2,,1200,2,0,790000,1136,,
Carpet  Area,Ready To Move,Muneshwara Nagar,2,,1230,2,3,480000,830,,
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,Clntsrt,1250,2,2,400000,5,,
Super built-up  Area,Ready To Move,Kalena Agrahara,2,PuamaPa,1325,2,2,760000,641,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,1,1500000,72,,
Super built-up  Area,21-Dec,Kanakpura Road,1,PrarePa,525,,,215300,664,,
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,,1200,2,2,650000,225,,
Plot  Area,Ready To Move,Bull Temple Road,3,,1350,2,0,1400000,279,,
Super built-up  Area,18-Jun,Bommasandra,3,SSestth,1260,3,1,493600,270,,
Super built-up  Area,Ready To Move,Prashanth Nagar,3,Vancy R,1800,3,0,1500000,939,,
Plot  Area,18-Dec,Suragajakkanahalli,3,PrhyaK ,11,3,2,740000,1126,,
Built-up  Area,Ready To Move,Ardendale,2,Miwel M,1100,2,1,432500,139,,
Super built-up  Area,Ready To Move,Harlur,2,SrEndPo,1508,2,1,770000,509,,
Carpet  Area,Ready To Move,Sampigehalli,3,Puens G,1592,3,2,750000,1032,,
Super built-up  Area,Ready To Move,Akshaya Nagar,2,SagasSa,1388,2,3,570000,98,,
Super built-up  Area,18-May,Electronic City Phase II,1,SNbay G,630,1,1,283500,419,,
Plot  Area,Ready To Move,RMV,3,,2000,3,2,3650000,953,,
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3,,1762,3,1,1250000,207,,
Super built-up  Area,21-Dec,Bagalur Main Road,2,,950,2,2,500000,186,,
Super built-up  Area,Ready To Move,Kodihalli,4,Soianal,3252,5,3,3350000,705,,
Super built-up  Area,18-Aug,Magadi Road,2,Vrenty ,1116,2,1,500000,772,,
Super built-up  Area,Ready To Move,Narayanapura,2,AriosHe,1308,2,2,890400,869,,
Super built-up  Area,Ready To Move,MS Pallya,3,,1200,3,0,900000,768,,
Plot  Area,Ready To Move,Binny Mills Employees Colony,4,,1500,4,2,2300000,266,,
Built-up  Area,Ready To Move,Bannerghatta Road,1,,500,1,1,185000,216,,
Super built-up  Area,Ready To Move,Hennur,2,SLureSi,1075,2,1,520000,518,,
Super built-up  Area,18-Mar,Chandapura,1,Siissi ,530,1,0,116600,304,,
Built-up  Area,Ready To Move,Bellandur,2,,1205,2,3,660000,236,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,Mangsr ,1075,2,2,600000,62,,
Built-up  Area,Ready To Move,KR Puram,2,HovasTe,930,2,2,390000,626,,
Super built-up  Area,Ready To Move,Balagere,2,Exncene,1380,2,1,600000,188,,
Super built-up  Area,Ready To Move,Hebbal,4,Prersis,2483,5,2,2120000,513,,
Built-up  Area,Ready To Move,Kodigehaali,2,Shyas S,1166,2,2,550000,703,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2,NadelCi,1050,2,1,650000,216,,
Super built-up  Area,19-Mar,Gopalapura,3,Sothadr,2023.71,3,2,2750000,463,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,468000,232,,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,Puarent,1600,2,1,1080000,745,,
Super built-up  Area,Ready To Move,Billekahalli,3,MaionPa,1935,3,2,1100000,264,,
Super built-up  Area,18-May,8th Phase JP Nagar,1,Maian M,451,1,0,299000,74,,
Super built-up  Area,Ready To Move,Electronic City,3,ShstaAl,1800,3,2,950000,417,,
Super built-up  Area,18-May,Jalahalli,3,Shard T,1400,3,0,770000,589,,
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1801,3,2,1150000,515,,
Built-up  Area,Ready To Move,Mahadevpura,2,Neagar ,1451,2,,900000,773,,
Plot  Area,19-Jan,Anekal,2,,1200,1,1,360000,126,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,440000,232,,
Built-up  Area,Ready To Move,Kengeri,2,,1000,2,1,250000,688,,
Super built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,400000,664,,
Built-up  Area,20-Dec,"Hoodi Circle, ",3,,1629,3,2,790000,531,,
Built-up  Area,Ready To Move,Vijayanagar,3,,1580,2,0,1340000,1222,,
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1826,3,2,1210000,1222,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Eladero,1245,2,1,940000,72,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,457900,972,,
Super built-up  Area,Ready To Move,Sompura,2,Suiseit,825,2,1,330000,1091,,
Super built-up  Area,18-Aug,Yeshwanthpur,3,Aroomba,1693,3,3,1080000,1267,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Courf T,1113.27,2,2,530000,422,,
Built-up  Area,Ready To Move,Ashirvad Colony,2,VMowsea,1460,2,1,580000,144,,
Built-up  Area,Ready To Move,Doddathoguru,2,S onsMa,1050,2,1,320000,396,,
Built-up  Area,Ready To Move,Dodda Nekkundi,2,Tuentpa,1260,2,2,550000,382,,
Super built-up  Area,Ready To Move,K N Extension,6,,700,3,,1200000,617,,
Built-up  Area,Ready To Move,Hosur Road,2,Tovesee,1656,2,1,1200000,544,,
Super built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208,3,1,450000,304,,
Super built-up  Area,Ready To Move,Whitefield,3,BrlisCo,1910,3,2,1610000,1252,,
Super built-up  Area,Ready To Move,Whitefield,4,Haestt ,3252,4,1,2300000,1252,,
Plot  Area,Ready To Move,Battarahalli,2,,1200,2,1,650000,230,,
Super built-up  Area,Ready To Move,Gokula Extension,4,,1200,4,1,1750000,458,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1175,2,1,820000,72,,
Plot  Area,Ready To Move,Kamakshipalya,2,,1000,2,0,1650000,647,,
Plot  Area,Ready To Move,Bannerghatta Road,4,,1200,2,0,1250000,216,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,4100000,976,,
Super built-up  Area,19-Jan,Rajaji Nagar,7,,12000,6,3,22000000,976,,
Plot  Area,Ready To Move,Sultan Palaya,2,,550,1,1,620000,1118,,
Super built-up  Area,Ready To Move,Kengeri,1,,34.46Sq. Meter,1,0,185000,688,,
Super built-up  Area,Ready To Move,Sanne Amanikere,2,Hoxiaa ,1185,2,,380000,1035,,
Super built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,380000,688,,
Plot  Area,Ready To Move,Mahalakshmi Layout,6,,1200,7,3,2500000,775,,
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,645000,664,,
Built-up  Area,Ready To Move,Amco Colony,3,Hoeatan,1760,3,2,880000,112,,
Super built-up  Area,Ready To Move,Billekahalli,2,Asity S,1125,2,2,620000,264,,
Plot  Area,Ready To Move,Nagarbhavi,3,,1350,3,2,1500000,848,,
Plot  Area,17-Dec,Anandapura,2,,1000,2,1,550000,118,,
Built-up  Area,18-Aug,Bommasandra Industrial Area,2,,1090,2,2,314800,271,,
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,600000,1138,,
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1991,4,2,1030000,278,,
Super built-up  Area,18-Oct,Bommasandra,2,DSoodil,1060,2,1,265000,270,,
Super built-up  Area,Ready To Move,Ambalipura,2,SJate,1105,2,1,750000,108,,
Built-up  Area,Ready To Move,Hoodi,2,Dhgraas,985,2,2,670000,530,,
Plot  Area,Ready To Move,Chandapura,6,,1533,5,3,850000,304,,
Super built-up  Area,17-Jul,Balagere,3,HiqueMa,1590,3,2,790000,188,,
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Srshq T,1120,2,2,550000,292,,
Super built-up  Area,Ready To Move,Samethanahalli,2,SPontna,1069,2,1,550000,1028,,
Super built-up  Area,Ready To Move,Marathahalli,3,Prionad,1933,3,2,1400000,799,,
Built-up  Area,16-Mar,Hosur Road,2,PuendWe,1194,2,0,690000,544,,
Super built-up  Area,Ready To Move,Brookefield,2,Danna S,1150,2,3,690000,277,,
Super built-up  Area,Ready To Move,Yelenahalli,2,,1240,2,2,471200,1264,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,481000,972,,
Plot  Area,Ready To Move,7th Phase JP Nagar,8,,1200,8,,2500000,72,,
Super built-up  Area,Ready To Move,Richmond Town,3,Bltonin,2150,4,,2400000,1006,,
Super built-up  Area,Ready To Move,Suddaguntepalya,3,MSanaer,1450,3,2,550000,1116,,
Super built-up  Area,18-Jul,Udayapur Village,3,Plowsri,1630,3,2,682900,1173,,
Super built-up  Area,Ready To Move,Dasanapura,2,Tavenew,708,1,1,400000,358,,
Plot  Area,Ready To Move,Kasavanhalli,3,,1000,4,3,1100000,670,,
Plot  Area,Ready To Move,Whitefield,4,,11890,4,3,7000000,1252,,
Super built-up  Area,Ready To Move,Bellandur,2,Ocavees,1250,2,1,760000,236,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1400,2,1,950000,72,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,,1670,2,3,570000,1039,,
Super built-up  Area,Ready To Move,Ardendale,3,SoystAm,1750,3,2,1000000,139,,
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,710000,1242,,
Super built-up  Area,Ready To Move,Hoodi,3,SMaxyay,1715,2,2,950000,530,,
Built-up  Area,18-Apr,Electronic City,1,Praun,630,1,1,346500,417,,
Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1752.12,3,2,1350000,509,,
Super built-up  Area,Ready To Move,Hulimavu,3,,1650,3,2,780000,549,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,554700,972,,
Plot  Area,Ready To Move,Giri Nagar,3,Bancyri,1800,3,2,2520000,453,,
Super built-up  Area,18-Sep,Sarjapur  Road,2,PualeSk,1346,2,1,740300,1039,,
Plot  Area,Ready To Move,Thippasandra,4,,1200,4,2,2000000,1154,,
Super built-up  Area,Ready To Move,Hormavu,2,ElavuHo,1150,2,2,550000,535,,
Built-up  Area,Ready To Move,Chikkabidarakallu,4,Gontyol,3309,4,3,3250000,321,,
Super built-up  Area,18-May,Chandapura,3,SunceEs,1190,2,2,303500,304,,
Super built-up  Area,Ready To Move,AECS Layout,3,DSutyng,1620,3,2,980000,80,,
Super built-up  Area,18-Apr,Marathahalli,2,,950,2,1,469600,799,,
Super built-up  Area,Ready To Move,1 Giri Nagar,11,Bancyri,5000,9,3,3600000,15,,
Super built-up  Area,Ready To Move,Harlur,3,SrEndPo,2450,3,0,1200000,509,,
Super built-up  Area,18-May,Electronic City Phase II,3,Sryalan,1220,2,1,352300,419,,
Super built-up  Area,Ready To Move,Hoysalanagar,2,ntsrt,850,2,1,300000,547,,
Built-up  Area,Ready To Move,Padmanabhanagar,2,,1020,2,2,630000,907,,
Built-up  Area,Ready To Move,Chikkalasandra,2,,1100,2,2,500000,326,,
Super built-up  Area,Ready To Move,Defence Colony,2,Vantspa,1150,2,2,1260000,362,,
Super built-up  Area,18-Dec,Hebbal,3,Mahosya,1760,2,2,1300000,513,,
Super built-up  Area,Ready To Move,Ambalipura,3,,1800,3,3,1100000,108,,
Super built-up  Area,Ready To Move,Akshaya Nagar,2,,1070,2,1,540000,98,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,,1500,4,2,2200000,43,,
Plot  Area,Ready To Move,Vidyaranyapura,2,,1440,2,0,950000,1216,,
Super built-up  Area,Ready To Move,Amruthahalli,2,Prowsi ,900,2,1,400000,114,,
Built-up  Area,Ready To Move,ITI Employees Layout,4,,1200,4,1,2300000,555,,
Super built-up  Area,18-May,Whitefield,2,SMuilan,1130,2,1,421600,1252,,
Super built-up  Area,Ready To Move,Koramangala,2,Proodt ,1320,2,1,1650000,713,,
Super built-up  Area,19-Jun,Kodigehalli,2,,1270,2,1,980000,704,,
Built-up  Area,Ready To Move,Patelappa Layout,2,Sryamar,1200,2,1,620000,920,,
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4,,4800,4,,2350000,1007,,
Super built-up  Area,Ready To Move,NS Palya,2,,1200,2,1,740000,842,,
Super built-up  Area,Ready To Move,Subramanyapura,2,Prldsri,929,2,0,501700,1115,,
Built-up  Area,Ready To Move,RMV 2nd Stage,4,LiaveEn,1150,4,2,2600000,954,,
Plot  Area,Ready To Move,Basavangudi,4,,1125,4,3,1800000,223,,
Plot  Area,Ready To Move,Kenchenahalli,5,,500,3,2,650000,686,,
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5,Bemesrm,1200,5,2,1900000,47,,
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,560000,628,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,,3600,4,3,4000000,72,,
Plot  Area,Ready To Move,Bank Avenue,4,,2000,4,2,990000,213,,
Super built-up  Area,Ready To Move,Chikkalasandra,2,,1208,2,1,490000,326,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,Vrensn ,1130,2,2,600000,514,,
Super built-up  Area,Ready To Move,Surabhi Layout,3,VDdonel,1753,3,2,1200000,1125,,
Super built-up  Area,Ready To Move,Old Madras Road,5,Brica E,4500,7,3,3370000,896,,
Plot  Area,Ready To Move,Banjara Layout,3,,600,3,2,580000,212,,
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1196,2,2,944200,530,,
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,Prenty ,1150,3,3,525000,62,,
Super built-up  Area,18-Apr,Electronic City,2,Praun,1128,2,1,630000,417,,
Super built-up  Area,Ready To Move,Omkar Nagar,2,Shinei ,1000,2,1,530000,900,,
Super built-up  Area,Ready To Move,Yelahanka,2,Apows M,1035,2,1,450000,1261,,
Built-up  Area,Ready To Move,Kereguddadahalli,2,,950,2,1,320000,694,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,360000,268,,
Super built-up  Area,Ready To Move,Whitefield,2,SVineun,1040,2,1,485000,1252,,
Plot  Area,17-Oct,Maragondanahalli,2,,720,2,1,450000,797,,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1511,3,1,950000,757,,
Built-up  Area,Ready To Move,Silk Board,3,,1300,3,1,580000,1079,,
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1545,3,1,687500,530,,
Built-up  Area,Ready To Move,Shampura,1,,375,2,0,260000,1059,,
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1062,2,3,380000,1216,,
Super built-up  Area,Ready To Move,Kada Agrahara,2,,1115,2,1,400000,631,,
Super built-up  Area,Ready To Move,JP Nagar,2,DSvvyx ,1000,2,1,350000,575,,
Super built-up  Area,17-May,Kambipura,2,Prrtht ,883,2,1,450000,650,,
Super built-up  Area,19-Apr,Sarjapur  Road,2,Brareio,1195,2,1,700000,1039,,
Plot  Area,Ready To Move,BHEL Layout,4,,1200,3,1,1650000,172,,
Built-up  Area,Ready To Move,Medahalli,1,,700,1,0,410000,816,,
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,670000,1242,,
Plot  Area,Ready To Move,8th Phase JP Nagar,4,,660,4,2,900000,74,,
Plot  Area,Ready To Move,Banashankari Stage III,4,,8500,4,2,1450000,203,,
Super built-up  Area,Ready To Move,Kashi Nagar,4,,1600,4,1,800000,671,,
Super built-up  Area,18-Dec,Haralur Road,4,SNnia E,2805,5,3,1540000,506,,
Super built-up  Area,Ready To Move,Begur Road,3,,1584,3,,650000,232,,
Plot  Area,Ready To Move,Sector 7 HSR Layout,4,,3000,5,1,2750000,1053,,
Built-up  Area,Ready To Move,Hosur Road,3,,1175,2,2,480000,544,,
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3,,1595,3,2,1150000,1266,,
Super built-up  Area,Ready To Move,VHBCS Layout,2,OlaLa,1353,2,2,1100000,1183,,
Super built-up  Area,18-Apr,Electronic City,3,Praun,1599,3,2,1250000,417,,
Super built-up  Area,Ready To Move,Whitefield,2,SuMTBPr,1150,2,1,700000,1252,,
Super built-up  Area,17-Dec,Jakkur,4,Lecco C,5230,6,1,4650000,584,,
Super built-up  Area,Ready To Move,KR Puram,2,Jahidva,1155,2,2,427400,626,,
Built-up  Area,Ready To Move,Ittamadu,1,,1200,2,0,850000,570,,
Super built-up  Area,18-Jul,Electronic City Phase II,2,,1000,2,1,250000,419,,
Super built-up  Area,Ready To Move,Thanisandra,4,,3000,4,,1200000,1148,,
Built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1867,3,1,1600000,986,,
Super built-up  Area,18-Jun,Ramagondanahalli,2,ViistLa,1251,2,1,470000,987,,
Super built-up  Area,18-Apr,Gattahalli,2,Arano M,1028,2,1,455000,444,,
Super built-up  Area,Ready To Move,Arekere,2,Amngsag,1222,2,2,450000,142,,
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1170,2,1,660000,216,,
Super built-up  Area,Ready To Move,Hebbal,3,Kacesh ,2400,4,1,2450000,513,,
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3,,1385,2,2,484800,994,,
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,680000,494,,
Super built-up  Area,Ready To Move,Magadi Road,3,Bilya A,1282,2,2,490000,772,,
Super built-up  Area,Ready To Move,Mico Layout,9,Amsomun,5000,9,3,2100000,822,,
Built-up  Area,Ready To Move,7th Block Jayanagar,5,,3000,3,1,5280000,70,,
Super built-up  Area,Ready To Move,Kanakpura Road,2,Shdhia ,1135,2,1,397300,664,,
Built-up  Area,20-Dec,Whitefield,3,,1768,3,2,1010000,1252,,
Built-up  Area,Ready To Move,Byatarayanapura,3,Foconna,1325,2,1,900000,283,,
Super built-up  Area,18-Apr,Electronic City,3,Praun,1599,3,2,990000,417,,
Plot  Area,18-Mar,Whitefield,3,,1500,3,1,619500,1252,,
Plot  Area,Ready To Move,2nd Phase JP Nagar,3,,2610,3,0,4990000,40,,
Super built-up  Area,Ready To Move,Uttarahalli,2,,1286,2,2,630000,1179,,
Built-up  Area,Ready To Move,Kammanahalli,5,,2845,5,1,1400000,653,,
Super built-up  Area,Ready To Move,K G Colony,3,Aincy R,1600,2,,500000,616,,
Super built-up  Area,18-Sep,Hennur Road,2,Shxorm ,1195 - 1440,2,0,637700,522,,
Super built-up  Area,Ready To Move,Hebbal,3,Brium C,3450,5,2,2600000,513,,
Super built-up  Area,18-Apr,Munnekollal,2,Sadhii ,1102,2,2,536700,832,,
Super built-up  Area,Ready To Move,Yelahanka,2,Sahanra,1350,2,2,540000,1261,,
Super built-up  Area,Ready To Move,Banashankari,3,,1200,2,2,420000,194,,
Plot  Area,Ready To Move,Hosa Road,6,,1300,6,0,1450000,536,,
Plot  Area,Ready To Move,Herohalli,2,,1800,1,1,800000,523,,
Built-up  Area,Ready To Move,Chikkabanavar,2,,950,2,1,400000,319,,
Super built-up  Area,21-Dec,Kanakpura Road,1,PrarePa,525,1,1,272500,664,,
Built-up  Area,Ready To Move,Attibele,2,Jae 2hu,656,2,1,250000,152,,
Plot  Area,Ready To Move,Marathahalli,4,,1780,4,3,1750000,799,,
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,Icncy R,1056,2,1,800000,47,,
Super built-up  Area,21-Feb,Bannerghatta Road,1,Hiatei ,595,1,1,333200,216,,
Built-up  Area,Ready To Move,Ittamadu,2,,1080,2,2,500000,570,,
Super built-up  Area,19-Dec,7th Phase JP Nagar,3,Puarero,2225,3,1,1600000,72,,
Super built-up  Area,18-Aug,Bommasandra,2,DSoodil,1126,2,1,281500,270,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,840000,422,,
Plot  Area,Ready To Move,HRBR Layout,4,,2000,4,1,3000000,493,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,PuineSu,1550,3,3,1000000,1039,,
Super built-up  Area,Ready To Move,,3,Grare S,1600,3,2,860000,-1,,
Built-up  Area,Ready To Move,Ashwini layout,2,,1160,2,1,550000,149,,
Built-up  Area,Ready To Move,Whitefield,4,PrOakSi,4144,4,3,3150000,1252,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Supleon,2100,3,2,1250000,1039,,
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,693000,1242,,
Plot  Area,Ready To Move,Sarjapur  Road,4,LGestbo,2230,4,3,2250000,1039,,
Super built-up  Area,Ready To Move,Marathalli bridge,3,,1544,3,,1200000,800,,
Super built-up  Area,18-May,Banashankari Stage III,3,Pridsi ,1305,2,1,587000,203,,
Super built-up  Area,Ready To Move,Marathahalli,2,Aahts H,1230,2,2,800000,799,,
Plot  Area,Ready To Move,T.C PALYA,2,,1200,2,0,650000,1136,,
Super built-up  Area,Ready To Move,Harlur,3,,1460,3,1,730000,509,,
Plot  Area,Immediate Possession,Sarjapur  Road,,Asiss B,1200 - 2400,,,341850,1039,,
Built-up  Area,Ready To Move,Gottigere,2,,967,2,3,450000,466,,
Built-up  Area,Ready To Move,Byatarayanapura,1,,540,1,1,360000,283,,
Super built-up  Area,19-Dec,Hormavu,1,Kolisl ,715,1,2,460000,535,,
Super built-up  Area,Ready To Move,Whitefield,3,Toindls,2500,3,2,3130000,1252,,
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1578,3,1,1800000,406,,
Super built-up  Area,Ready To Move,Mysore Road,2,,1020,2,1,489500,837,,
Super built-up  Area,Ready To Move,Jigani,2,i1odsne,1020,2,1,400000,606,,
Super built-up  Area,Ready To Move,Koramangala,2,Ansna K,1253,2,1,1020000,713,,
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1180,2,2,420000,574,,
Super built-up  Area,Ready To Move,Nehru Nagar,2,Veyalin,961,2,2,380000,879,,
Built-up  Area,Ready To Move,Kanakapura,3,,1419,3,3,750000,658,,
Super built-up  Area,Ready To Move,Harlur,3,SomonCi,1709,3,2,1500000,509,,
Plot  Area,Ready To Move,Papareddipalya,2,,1600,2,0,1150000,917,,
Super built-up  Area,18-Jul,Venkatapura,1,,416,1,1,185000,1205,,
